week,title,url,thunmbnail,author,summary,genre,age,company
금요일,악몽일기,https://comic.naver.com/webtoon/list?titleId=766626&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/766626/thumbnail/thumbnail_IMAG10_b4d67898-72d3-4d57-b413-7d8bd0eb7b41.jpg,육공,"섬뜩한 악몽을 기록해둔 옴니버스식 공포 스릴러!과연 이것은 악몽일까, 현실일까?평범했던 주인공들의 삶이 기이한 악몽으로 변해간다.","옴니버스, 스릴러",15세 이용가,네이버
금요일,인피니티,https://comic.naver.com/webtoon/list?titleId=775140&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/775140/thumbnail/thumbnail_IMAG10_3f05ecc4-9b9a-45c5-ba62-0fe80d802a64.jpg,2오,"축구선수가 공을 무서워한다?!공만 오면 자동적으로 피하는 몸 때문에 괴로워하는 축구부 다민은 새로운 제안을 받는다.""야, 너 펜싱 해라!""인생 최대의 약점이 최대의 강점으로 인정받은 순간 다민은 새로운 세계에 발을 내딛는데...귀족 스포츠 펜싱계에 말도 안 되는 천재 등장!","스토리, 스포츠",전체연령가,네이버
금요일,너의 미소가 함정,https://comic.naver.com/webtoon/list?titleId=741467&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/741467/thumbnail/thumbnail_IMAG10_24734aa1-9ba3-4cbb-bafd-caeb5c3a0097.jpg,앵고,살기 뿜뿜 살벌한 여자 차백합과 빛나는 외모를 가린 남자 안기유!운명처럼 짝이 된 둘의 난감 빠방 스쿨 라이프!,"스토리, 로맨스",전체연령가,네이버
금요일,도무지 그애는,https://comic.naver.com/webtoon/list?titleId=761496&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/761496/thumbnail/thumbnail_IMAG10_42768598-88c0-420e-8b33-fbe12130640c.jpg,게코,"생계를 위해 아르바이트 전선에 뛰어들었으나 계속 거절만 당한 무지는지푸라기라도 잡는 심정으로 오! 해피마트 시식 아르바이트를 시작한다.낯선 환경에 주눅이 들지만, 거칠었던 그 곳의 첫인상이 조금씩 바뀌어 가는데..세상을 배워가는 수많은 '그 애'들의 이야기","스토리, 드라마",12세 이용가,네이버
금요일,로판 빙의 만화,https://comic.naver.com/webtoon/list?titleId=772020&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/772020/thumbnail/thumbnail_IMAG10_6db10ca2-1620-4bec-b2dd-f421a841d03c.jpg,싱난다,"읽던 소설 속 주인공이 된 고등학생 영희는 미래의 황후가 될 자신이 없어서 초장부터 원작 루트를 탈출하고 만다. 그렇게 옆나라에서 조용히 살던 어느 날, 우연히 자신과 똑같은 빙의자 철수를 만나게 되는데…. 한국에 돌아가고 싶은 이들은 원래의 세계로 돌아갈 계획을 세워보지만, 돈은 없다는 가장 큰 문제에 부딪힌다. 결국 그들은 만만한 음식 장사를 도전하게 되는데…?!","스토리, 로맨스",전체연령가,네이버
금요일,썸내일,https://comic.naver.com/webtoon/list?titleId=768470&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/768470/thumbnail/thumbnail_IMAG10_50772fc5-a319-4d36-ad62-b7cc07ecbcd5.jpg,봉수,"연애 리얼리티 TV쇼 <썸내일>에 출연한 '이보배'와 '오한주'.두 사람의 러브라인은 연일 화제의 중심이었고, 프로그램 역시 절정의 인기를 끈 채 종영한다.그러나 보배에게는 사실 진짜 남자 친구가 따로 있었고, 그 사실이 SNS를 통해 퍼져 나간다.","스토리, 드라마",12세 이용가,네이버
금요일,몽홀,https://comic.naver.com/webtoon/list?titleId=644112&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/644112/thumbnail/title_thumbnail_20150105174647_t83x90.jpg,장태산,차갑고 척박한 땅 몽홀그 곳에서 펼쳐지는 감동의 대서사시,"스토리, 시대극",전체연령가,네이버
금요일,빨간맛 로맨스,https://comic.naver.com/webtoon/list?titleId=776669&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/776669/thumbnail/thumbnail_IMAG10_1242ecfa-21ba-48b5-bded-a2e449457051.jpg,사지현 / 서루,"내 첫사랑은 빨간 맛이었다.'너만 보면 심장이 두근거리는 것도, 하루 종일 네 생각이 나는 것도, 네 작은 것 하나까지 점점 더 신경 쓰이는 것도 전부…… 정말 단지 네 피가 달콤하기 때문일까?","스토리, 로맨스",전체연령가,네이버
금요일,태권보이,https://comic.naver.com/webtoon/list?titleId=771330&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/771330/thumbnail/thumbnail_IMAG10_8f97a7dc-1a1a-4f3a-a66f-38feddf8515b.jpg,김우준,"성적도 장래희망도 애매모호, 뭐든 설렁설렁 대충이지만 알고 보면 태권도 고수인 주인공 '김인'.주변에서는 겨룰 자가 없을 만큼 출중한 실력을 자랑하지만 어쩐지 선수는 되려 하지는 않는다.태권도는 사랑하지만 겨루기는 제기차기라고?그런 인에게 운명처럼 찾아온 태권도계의 슈퍼루키 김민석과의 단 한 번의 겨루기.이제 그들은 이기기 위해, 제대로 싸우기 위해 새로운 태권도 겨루기의 장에서 맞선다!","스토리, 스포츠",12세 이용가,네이버
금요일,빨리감기,https://comic.naver.com/webtoon/list?titleId=764040&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/764040/thumbnail/thumbnail_IMAG10_bfd0bfbf-667e-4f37-97db-64fd7ab2798a.jpg,"포르토,홍준기 / 홍준기",시간을 빨리감을 수 있는 명지는 하굣길에 시간을 빨리 감았다가 방금 죽어버린 친구를 앞에 둔 채 정신을 차린다. 영문을 몰라 당황하는 그녀의 앞에 누군가 나타나는데...시간을 조종할 수 있는 또 다른 능력자들의 위협으로부터 명지는 자신과 주변을 지키기 위한 긴박한 싸움을 시작한다.,"스토리, 스릴러",15세 이용가,네이버
