week,title,url,thumbnail,author,summary,genre,age,company
화요일,보름달 식당,https://www.lezhin.com/ko/comic/kimbotong_fullmoon,https://ccdn.lezhin.com/v2/comics/5873525665628160/images/wide.webp?updated=1583219994404&width=277,김보통,"오늘도 지친 당신에게 필요한 건?
맛있는 밥 한 그릇을 들고 오늘도 보름달식당이 찾아갑니다.",드라마,전체 이용가,레진코믹스
수요일,소꿉친구가 자꾸 괴롭혀!,https://www.lezhin.com/ko/comic/nuri,https://ccdn.lezhin.com/v2/comics/5015838139940864/images/wide.webp?updated=1626418904502&width=277,NAKTA,"고등학교 2학년 새학기를 맞이하는 한누리. 초등학교 시절 전학 갔던 소꿉친구 강호밀이 같은 반 옆자리 짝꿍으로 돌아왔다!
키 147cm로  멈춰버린 자신과 다르게 몇년 새 많은 것이 달라진 호밀. 그의 등장으로 흠칫 긴장하고 덜컹 가슴 뛰는 일상이 시작된다!",학원,15세 이용가,레진코믹스
수요일,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/wide.webp?updated=1626417739320&width=277,박바퀴,제가 이러고 삽니다.,일상,15세 이용가,레진코믹스
수요일,LOVE WINS,https://www.lezhin.com/ko/comic/lovewins,https://ccdn.lezhin.com/v2/comics/4527189402124288/images/wide.webp?updated=1629178762705&width=277,목도리,"「 레진챌린지에서 독자들의 정신이 아찔해지게 웃기고 설렜던 선 결혼 후 연애 로맨스!! 」
동성혼 합법화 소식에 들떠 번개에 나간 모쏠 레즈 이다연.
술에 취해 모르는 여자와 혼인신고를 해버렸다....!?",백합,15세 이용가,레진코믹스
수요일,타치바나 백작,https://www.lezhin.com/ko/comic/tachibanabl,https://ccdn.lezhin.com/v2/comics/5878601020145664/images/wide.webp?updated=1632728185501&width=277,활기,"일제강점기 시대, 조선인 소년 권용현은 매년 여름마다 마을 뒷산에 있는 타치바나 백작저에 초대받는다.
그곳에서 친해진 미스터리한 소년 타치바나 쇼는 저택에서 단 한번도 나가보지 못한채 갇혀있는 신세였고,
권용현은 그런 타치바나 쇼를 도와 저택에서 벗어날 수 있도록 궁리하기 시작하는데..",BL,15세 이용가,레진코믹스
수요일,단금지교,https://www.lezhin.com/ko/comic/dangeum_jigyo,https://ccdn.lezhin.com/v2/comics/5778995370655744/images/wide.webp?updated=1632988845735&width=277,핑푸,"왕세자 지교는 동생을 죽였다는 누명을 쓰고 귀양길에 오른다. 그를 따르던 호위무사 단금은 죽음을 목전에 둔 유배지에서 지교를 향한 연정을 숨기지 못하고, 그로 인해 지교 또한 마음이 어지러운데..",BL,15세 이용가,레진코믹스
수요일,머쉬룸 스프,https://www.lezhin.com/ko/comic/mushroomsoup,https://ccdn.lezhin.com/v2/comics/6614679117758464/images/wide.webp?updated=1610586605631&width=277,부발,"18살 생일, 이상한 꿈과 함께 잠에서 깨어난 아리는 시골 마을로 전학을 가게 된다. 이번 생일 선물은 특별하다며 그녀를 거대한 나무 앞으로 데려간 부모님이 나무에 노크를 두 번 하자 아리는 땅속으로 끊임없이 떨어지게 되는데?! 매력넘치는 버섯족 친구들의 이야기가 시작된다! 제4회 세계만화공모전 우수상 수상작!",판타지,15세 이용가,레진코믹스
수요일,왓치가이,https://www.lezhin.com/ko/comic/watchguy,https://ccdn.lezhin.com/v2/comics/4625200343023616/images/wide.webp?updated=1619320632111&width=277,ASURA / 글: 마사토끼,시간의 왜곡을 감지할 수 있는 소년 성운협은 시간을 멈출 수 있는 소녀 정은하와의 만남으로 인해 시간능력의 본질과 그 능력의 소유자들의 존재에 대해 파고들게 된다. 그러던 중 시간능력이 십수 년 전에 일어난 어떤 사건과 깊숙이 연결되어 있다는 사실을 알게 되는데...,드라마,15세 이용가,레진코믹스
수요일,킹스메이커,https://www.lezhin.com/ko/comic/kingsmaker,https://ccdn.lezhin.com/v2/comics/5172685072760832/images/wide.webp?updated=1550127491993&width=277,"강지영, 하가","황제의 소유물에는 손 끝 하나 닿고 싶지 않아! 아버지에게 복수심을 품고 그의 모든 것을 증오하는 4황자 볼프강, 현실을 벗어날 수 있을 힘과 황제의 몰락을 원하는 신수혁. 다른 생각을 가지고 같은 꿈을 꾸는 두 사람…! [OH, MY GOD!] 강지영, [공주는 잠 못 이루고] 하가 작가가 선보이는 초대형 BL 판타지!",BL,15세 이용가,레진코믹스
수요일,꼴데툰 2021,https://www.lezhin.com/ko/comic/ggtoon2021,https://ccdn.lezhin.com/v2/comics/6690294575988736/images/wide.webp?updated=1630634519726&width=277,샤다라빠,"지난 몇 년 간 꿇었던 건 추신수 아니 추진력을 얻기 위함이었다!
보고 있는가, 추신수.. 여기 자네보다 뛰어난 인재가 있네. 무려 둘이나..
투타를 책임질 김진욱과 나승엽은 꼴데의 환장 대모험(?)을
아름다운 역사로 바꿔줄 것인가..!
올해도 주6회 등판하는 웹툰계 슈퍼 세이브 야구만화!",개그,15세 이용가,레진코믹스
