id,제목,URL,Thumbnail,작가,스토리,장르,연령대
759090,라라파루자,https://comic.naver.com/webtoon/list?titleId=759090,https://shared-comic.pstatic.net/thumb/webtoon/759090/thumbnail/thumbnail_IMAG10_f531d282-7a8f-4d17-ad5e-520ef4193904.jpg,YUYU,"남양주를 제패한 남고생, 싸움꾼 ‘홍민재’. 곳곳을 돌아다니며 싸움을 걸고 다니는 그를 사람들은 하얀 머리를 가진 표범-‘설표’라 부른다.길거리 싸움은 폭력일 뿐! 진정한 싸움은 무대에서 펼쳐진다!천상천하 유아독존 싸움꾼 소년의 도전이 시작된다!","스토리, 액션",12세 이용가
728751,괴물신부,https://comic.naver.com/webtoon/list?titleId=728751,https://shared-comic.pstatic.net/thumb/webtoon/728751/thumbnail/thumbnail_IMAG10_ce7def2c-adfe-43b8-b645-8175d929a0a8.jpg,상범 / 스테익,어느날 해나에게 찾아와 신랑으로 삼아달라는 꽃미남들.그들에게는 엄청난 비밀이 있었다!?,"스토리, 판타지",12세 이용가
706770,언데드,https://comic.naver.com/webtoon/list?titleId=706770,https://shared-comic.pstatic.net/thumb/webtoon/706770/thumbnail/thumbnail_IMAG10_da85ffe8-adbd-4d4f-9a23-19933e5b5cce.jpg,김우준,"대한의 혈청을 통해 회복되는 듯 보이던 좀비 바이러스들에 문제가 생겼다. 복원센터는 더이상 대한의 혈청이 듣지 않아 난관을 겪고, 대한일행은 석배를 회복시킬 ‘새로운 혈청’을 찾기 위해 무법지대로 떠나지만, 그곳에는 또 다른 시련이 기다리고 있다!","스토리, 스릴러",15세 이용가
710754,화장 지워주는 남자,https://comic.naver.com/webtoon/list?titleId=710754,https://shared-comic.pstatic.net/thumb/webtoon/710754/thumbnail/thumbnail_IMAG10_d8e56fd3-303a-47f8-bdb0-8557ddceb5ba.jpg,이연,밋밋한 얼굴의 대학생이 천재 메이크업 아티스트의 뮤즈?!,"에피소드, 드라마",전체연령가
710750,악마와 계약연애,https://comic.naver.com/webtoon/list?titleId=710750,https://shared-comic.pstatic.net/thumb/webtoon/710750/thumbnail/thumbnail_IMAG10_17f35b20-c52e-44db-8378-63d5d7a37955.jpg,장진 / 움비,아무것도 원하지 않는 인간 한나.갑자기 나타난 악마와 영혼을 걸고 계약을 하게 되다?!,"스토리, 로맨스",12세 이용가
725831,땅 보고 걷는 아이,https://comic.naver.com/webtoon/list?titleId=725831,https://shared-comic.pstatic.net/thumb/webtoon/725831/thumbnail/thumbnail_IMAG10_3017dea9-5240-477c-9550-46b8766f2966.jpg,다온,나는 항상 주눅들어있는 아이였다.폭력이 나에게 미친 영향에 대한 이야기.,"스토리, 드라마",15세 이용가
642653,사이드킥 2~3,https://comic.naver.com/webtoon/list?titleId=642653,https://shared-comic.pstatic.net/thumb/webtoon/642653/thumbnail/thumbnail_IMAG10_7a019732-5db6-4c88-85fb-a65e69748797.jpg,신의철,슈퍼히어로의 조수 '사이드킥' 악당 빌런들과 맞서 싸우는 슈퍼히어로와사이드킥들의 이야기!,"스토리, 판타지",15세 이용가
737020,물레,https://comic.naver.com/webtoon/list?titleId=737020,https://shared-comic.pstatic.net/thumb/webtoon/737020/thumbnail/thumbnail_IMAG10_8a690840-7ddc-47a5-b2d1-904532f0bb73.jpg,고긱,첫 술자리에서 전과 선언.이거 내 얘기 아니지..?,"스토리, 드라마",12세 이용가
759089,유비님께 투자하겠어,https://comic.naver.com/webtoon/list?titleId=759089,https://shared-comic.pstatic.net/thumb/webtoon/759089/thumbnail/thumbnail_IMAG10_e7702b18-a085-47ab-8855-2b8358b74112.jpg,B급달궁 / 이유정,"지금까지의 삼국지는 잊어라!꽃미남 영웅들과 초보 투자가의 짠내 나는 촉나라 경영 스토리!...삼국지의 유비, 관우, 장비와 20대 여성 CEO 제나의 ‘본격주식회사경영판타지코믹로맨스’를 통해 새로운 즐거움을 선사한다!!","스토리, 판타지",전체연령가
651673,[드라마원작] 유미의 세포들,https://comic.naver.com/webtoon/list?titleId=651673,https://shared-comic.pstatic.net/thumb/webtoon/651673/thumbnail/thumbnail_IMAG10_659b9446-0940-494a-bb5f-5893290a84d0.jpg,이동건,유미는 지금 무슨 생각을 하고 있을까?그녀의 머릿속에서 바쁘게 움직이는 세포들 이야기!,"에피소드, 로맨스",12세 이용가
734040,현혹,https://comic.naver.com/webtoon/list?titleId=734040,https://shared-comic.pstatic.net/thumb/webtoon/734040/thumbnail/thumbnail_IMAG10_84ddf1e6-9d54-41f6-8dae-53c6c3ea534d.jpg,홍작가,"매혹적인 여인의 초상화 의뢰를 맡은 화가. 시간이 지날수록 밝혀지는 여인의 정체와 미스터리한 사건들, 그리고 어느새 여인에게 현혹된 화가의 이야기","스토리, 스릴러",15세 이용가
