영화제목,평점,댓글,작성자,날짜
키드,10,채플린 최고의 영화가 아닐까. 아름답고 유쾌하고 아련하다.,paus****,09.08.13
키드,10,아기가 정말 대단해 싸움도 잘하고 글고 재미있어요,1004****,09.05.30
키드,10,대박이지ㅡㅡ 찰리 채플린은 분명 천재다.,acac****,09.04.21
키드,5,그 시대에 봤다면 모를까..;;;다들 난리네 ㅎㅎ,drd1****,09.01.20
키드,10,나를 눈물과 감동에 빠지게 만든 50분간의 기적..,pola****,09.01.15
키드,10,시대의 역작.............................,jsa7****,08.12.28
키드,10,눈물과 웃음이 함께하는 영화다. 무성이지만 가슴 한편에 따뜻하게 와닫는다,shfo****,08.11.07
키드,10,재키쿠건 법은 괜히 생긴게 아니다.,myri****,08.10.05
키드,10,무성영화에서는 유성영화에서 볼수없는 독특한 매력이 있다.,adel****,08.09.28
키드,10,역시 찰리채플린과 아이의 연기력이 가상하고 멋지다,gytl****,08.02.23
키드,8,아이의 연기가 인상 깊은 영화.,dela****,08.02.13
키드,10,웃음과 눈물을 동시에 짜내게 만드는 찰리와 잭키(환상의 콤비),heod****,08.02.12
키드,8,익살스럽지만 눈물 짓게 만든 찰리 채플린의 연기...,egyp****,08.01.30
키드,9,분명 희극인데 가슴이 짠하다. 불쌍하고 슬프기도 하고... 해피엔딩이라서 다행이야,teo0****,08.01.03
키드,10,희극속에 담겨있는 비극..그래서 더 애절하다..,ansu****,07.11.26
키드,10,덩치큰형을 3번이낚은게 너무 웃겻다 ㅋㅋ 하지만 가슴따뜻한이야기,stou****,07.10.29
키드,10,역시 채플린..........,hhow****,07.08.23
키드,10,감동적 ㅜㅜ,kuma****,07.08.12
키드,10,절대잊혀지지가않아,cach****,07.08.08
키드,10,감동과 웃음..,lyk8****,07.07.27
키드,8,이 영화는 채플린 보다는 아이의 연기를 보는 재미,okyk****,07.05.03
키드,9,"달콤, 세콤, 유쾌한 悲劇!",oklo****,07.04.23
키드,8,가장 잘 어울리고 익살맞은 콤비. 천국장면의 재치가 맘에 든다.,hadl****,07.03.28
키드,10,찰리채플린 답다,kcje****,07.02.01
키드,10,채플린의 천재성에 All in,azir****,06.12.19
키드,8,"채플린의 첫 헐리웃 진출작, 후속작들에 못지 않은 감동이",sioh****,06.12.13
키드,8,"찰리 채플린, 그 재능의 발견.",gold****,06.11.16
키드,7,보고 나면 가슴 찡해지는 작품 채플린은 역시 최고구나,okjo****,06.11.04
키드,10,Perpect..,cree****,06.10.17
키드,10,걸작은 시간을 뛰어넘는다...,reki****,06.09.23
키드,8,글쎄..이런 영화는 별로 라서..,qufs****,06.08.20
키드,10,영화사에 길이남아 영구히 지구인의 감성에 호소할 시대적 걸작,jals****,06.06.06
키드,10,단편에다무성 흑백이여도 난 이영화가좋다,jing****,06.05.19
키드,10,내가 처음 접한 찰리 채플린의 영화,won1****,06.02.07
키드,10,잭키쿠건(아이)의 연기는 일품이다.,wndh****,05.10.12
키드,8,신파도 맛깔스러운 채플린.,tjsd****,05.09.24
키드,10,그 당시의 시대적 상황을 웃음과 감동으로 잘 표현한 수작,hmr3****,04.10.17
키드,10,감동적인 드라마.,pby1****,04.10.10
키드,10,웃음으로 포장한 가슴 아픈 비극,litt****,04.09.16
키드,9,따뜻한 아빠 채플린과 귀여운 아이,sjzs****,03.12.26
